name,ontology_uri,description,parent_id
Lip Serum,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/LipSerum,Serum bibir yang merawat dan memberi kelembapan ekstra pada bibir.,3
Cream Or Lotion,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/CreamOrLotion,Krim atau lotion untuk merawat dan melembapkan kulit.,4
Face Mist,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/FaceMist,Semprotan wajah untuk memberi hidrasi cepat dan menyegarkan kulit.,4
Face Oil,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/FaceOil,Minyak wajah yang melembapkan dan memberi nutrisi tambahan pada kulit.,4
Gel,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Gel,Gel pelembap yang ringan dan mudah menyerap ke dalam kulit.,4
Acne Treatment,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/AcneTreatment,Perawatan khusus untuk mengatasi jerawat dan bekasnya.,8
Ampoules,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Ampoules,Produk konsentrat yang mengandung bahan aktif untuk perawatan kulit intensif.,8
Essence,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Essence,Essence untuk memberi kelembapan dan menyegarkan kulit.,8
Face Mask,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/FaceMask,Masker wajah yang memberikan perawatan kulit secara menyeluruh.,8
Peeling,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Peeling,Produk eksfoliasi yang mengangkat sel kulit mati dan memperbaiki tekstur kulit.,8
Scrub Or Exfoliator,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/ScrubOrExfoliator,Scrub atau eksfoliator untuk membersihkan kulit dari sel kulit mati.,8
Serum,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Serum,Serum dengan bahan aktif untuk perawatan intensif pada kulit.,8
Toner,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Toner,Toner untuk menyeimbangkan pH kulit setelah pembersihan.,8
