name,actualFunctions,embeddedFunctions,functionalCategories,keyIngredientTypes,isKeyIngredient,suitableForSkinTypes,addressesConcerns,providedBenefits,usageInstructions,pregnancySafe,sensitivities,alcoholFree,fragranceFree,siliconeFree,sulfateFree,parabenFree,explanation,benefit,safety,alternativeNames,whatItDoes,url
Malpighia Emarginata Fruit Extract133Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Ekstrak buah Malpighia emarginata mengandung antioksidan dan polisakarida. Antioksidan melindungi kulit Anda dari kerusakan radikal bebas. Ekstrak buah Malpighia emarginata juga merupakan sumber yang bagus dari vitamin C. Lihat all125 Produk dengan Malpighia emarginata Buah Ekstrak Apa yang Doesskin mengondisikan hidrat dan melunakkan nam-name-name-nameSacerola Extractsprevalence-prevelenence-produce-produce-produce-produce name-name-name-name-name-name-name-nameScents name-ITRETREENCES. CategoriestreatmentscleansersSunScreensPositionPedomed dominan penempatan,,,"Acerola Fruit Extract, Prevalence, Less common, Percentage of products that contain it, MALPIGHIA EMARGINATA FRUIT EXTRACT",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/malpighia-emarginata-fruit-extract
Centella Asiatica Leaf/Stem Powder135Hair Conditioning,,,,Others,No,Normal,Redness,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk bubuk daun/batang Centella asiatica. Lihat All22 Productswith Centella Asiatica Leaf/Bubuk Bubuk Prevalenceless Commonpersentage produk yang mengandung IT0%Top CategoriessscleanserssunScreensposition Predominant Daftar Penempatan BBOTTOM 50%Konsentrasi Konsentrasi Kami telah melihat0%hingga 0%,,,"CENTELLA ASIATICA LEAF/STEM POWDER, All Functions, Hair Conditioning",,https://skinsort.com/ingredients/centella-asiatica-leaf-stem-powder
"Chondrus Crispus1342Masking, Skin Conditioning","Skin Conditioning, Masking",,"Moisturizing, Sensory",Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Chondrus crispus adalah alga merah yang berasal dari Samudra Atlantik Utara. Ini kaya antioksidan. Kandungan polisakarida, peptida, dan asam amino membantu melembabkan kulit. Anxidants yang ada dalam Chondrus crispus termasuk lutein dan zeaxanthin. Lutein memiliki kemampuan untuk menyaring cAHAya biru dari layar.",,See all 233 products with Chondrus Crispus Users who like it 24% Users who avoid it 76% What it does Masking Obscuring or blocking Skin Conditioning To hydrate and soften skin Alternative names Red Seaweed Irish Moss Prevalence Less common Percentage of products that contain it 0,"Red SeaweedIrish Moss, Red Seaweed, Irish Moss, Prevalence, Less common",MaskingObscuring or blockingSkin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/chondrus-crispus
"Vitis Vinifera Juice Extract13Skin Conditioning, Antioxidant","Skin Conditioning, Antioxidant",,"Moisturizing, Protective",Others,No,"Dry,  Normal","Aging, Dryness","Hydrating, Protecting, Anti-aging, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Ekstrak jus vitis vinifera berasal dari jus anggur dan memiliki sifat antioksidan. Baca lebih lanjut tentang manfaat anggur. Lihat All52 Productswith Vitis Vinifera Jusnya mengekstrak apa yang dikondisikan kulit untuk hidrat dan melunakkan zat skinatioxidanta yang menghambat oksidasi, terutama satu, seperti vitamin E, vitamin C, atau beta karoten yang melindungi sel -sel dari 10 -an. CategoriesTreatmentsmoisturizersmasksposition Predomed dominan penempatan 50%",,,"VITIS VINIFERA JUICE EXTRACT, 287-896-9 / 284-511-6, All Functions, Antioxidant","Skin ConditioningTo hydrate and soften skinAntioxidantA substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation.",https://skinsort.com/ingredients/vitis-vinifera-juice-extract
"Montmorillonite13Absorbent, Emulsion Stabilising, Stabilising","Stabilising, Emulsifying, Absorbent",,"Formulation, Specialized",Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Montmorillonite adalah tanah liat (aluminomagnesium silikat) dengan sifat penyerapan yang kuat. Ini memiliki pH yang mirip dengan kulit ini. Tanah liat ini dinamai Montmorillon di Prancis. Belajar tentang jenis tanah liat lain, seperti askaolin, Bentonite, orfuller's Earth. Lihat All253 Productswith Montmorillonite Apa yang Dilabsorbentallows Untuk Memasuki Produk Melalui Skinemulsion Stabilisingstabilisasi Emulsi, Membuat Dua BAHAn yang Tidak Dapat Mixable Stablestabilising Menggunakan Nama-Nama Tople-Contures Conture-Producte Clayblack Clayblack Clayblack ClayFrench Green Cold-Claypranch-Rencur Tanpa Can-Can-Namesch.",,,"French Black ClayBlack ClayFrench Green Clay, French Black Clay, Black Clay, French Green Clay, Prevalence","AbsorbentAllows for the entering of product through the skinEmulsion StabilisingStabiliziing emulsion, making two non-mixable ingredients stableStabilisingCausing to become stable",https://skinsort.com/ingredients/montmorillonite
Lactococcus Ferment132Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk fermentasi Lactococcus. Lihat All78 Productswith Lactococcus Fermentasi Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuk ke produk yang mengandung IT0.1%Top CategoriesCleansersmoisturizersMakeuppositionTospositionTred dominan penempatan dominan 50%50%,,,"LACTOCOCCUS FERMENT, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/lactococcus-ferment
Polyacrylate Crosspolymer-61347Emulsion Stabilising,"Stabilising, Emulsifying",,Formulation,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Polyacrylate crosspolymer-6 adalah penambah tekstur dan pH adjuster. Ini digunakan untuk menebal produk berbasis air dan membuat tekstur gel dengan nuansa beludru. Satu produsen mengklaim bAHAn ini memiliki kisaran pH 2-8 dan menjadi biodegradable. Lihat All1.798 Produkswith Polyacrylate Crosspolymer-6,,"See all 1,798 products with Polyacrylate Crosspolymer-6 Users who like it 22% Users who avoid it 78% What it does Emulsion Stabilising Stabiliziing emulsion, making two non-mixable ingredients stable Prevalence Uncommon Percentage of products that contain it 2% Top categories Treatments Sunscreens Moisturizers Position Predominant list placement Bottom 50% References pubmed","POLYACRYLATE CROSSPOLYMER-6, All Functions, Emulsion Stabilising, Viscosity Controlling","Emulsion StabilisingStabiliziing emulsion, making two non-mixable ingredients stable",https://skinsort.com/ingredients/polyacrylate-crosspolymer-6
Citrus Junos Fruit Extract1323Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Ekstrak buah jeruk Junos berasal dari pohon jeruk Junos, atau tanaman yuzu.yuzu memiliki banyak manfaat kulit. Ini mengandung antioksidan dan berbagai vitamin. Vitamin yang ditemukan di Yuzu meliputi: vitamin C, vitamin A, vitamin B6, dan vitamin B5.vitamin C dan A juga memberikan banyak manfaat kulit seperti meningkatkan produksi kolagen dan membantu mengurangi tanda -tanda penuaan. Untuk mereka yang alergi, Yuzu memang memuat dermawan yang lebih penting. Kedua senyawa ini dapat menyebabkan sensitivitas kulit. Jika Anda memiliki masalah, kami sarankan berbicara dengan seorang profesional.",,See all 361 products with Citrus Junos Fruit Extract Users who like it 36% Users who avoid it 64% What it does Skin Conditioning To hydrate and soften skin Alternative names Yuzu Fruit Extract Prevalence Less common Percentage of products that contain it 0,"Yuzu Fruit Extract, Prevalence, Less common, Percentage of products that contain it, CITRUS JUNOS FRUIT EXTRACT",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/citrus-junos-fruit-extract
"Capric Acid1361Cleansing, Emulsifying, Masking","Cleansing, Emulsifying, Masking",,"Cleansing, Formulation, Sensory",Others,No,Oily,"Acne, Oiliness","Cleansing, Oil Control",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Asam Capric adalah asam lemak jenuh. Secara alami ditemukan minyak kernel oilandpalm incoconut. Menciptakan asam kaprik melibatkan oksidasi decanol, alkohol primer. BAHAn ini memiliki sifat parfum, masking, dan antibakteri. Asam kaprik terutama digunakan dalam parfum dan untuk menciptakan rasa buah buatan. BAHAn -bAHAn masking digunakan untuk menutupi aroma bAHAn lain. Yang menarik, asam kaprik memiliki aroma tengik dengan sendirinya.",,"See all 107 products with Capric Acid Comedogenic Rating 2 Irritancy Rating 2 Users who like it 18% Users who avoid it 82% What it does Cleansing To free from dirt, contamination, or impurities Emulsifying The act of emulsion: a suspension of small globules of one liquid in a second liquid with which the first will not mix Masking Obscuring or blocking Perfuming A substance that emits and diffuses...","Decanoic AcidDecylic Acid, Decanoic Acid, Decylic Acid, Prevalence, Less common","CleansingTo free from dirt, contamination, or impuritiesEmulsifyingThe act of emulsion: a suspension of small globules of one liquid in a second liquid with which the first will not mixMaskingObscuring or blockingPerfumingA substance that emits and diffuses a fragrant odor, especially a volatile liq...",https://skinsort.com/ingredients/capric-acid
"Triethanolamine13160Emulsifying, Masking, Buffering","Buffering, Emulsifying, Masking",,"Formulation, Sensory",Others,No,Normal,,,,Consult healthcare provider,Alcohol,No,Yes,Yes,Yes,Yes,"Triethanolamine adalah pengemulsi dan pH adjuster. Ini dibuat menggunakan etilena oksida dan amonia. Ini memberi triethanolamine inti nitrogen dan aroma yang serupa dengan amonia. Sebagai pengemulsi, itu mencegah bAHAn memisahkan dan meningkatkan tekstur dengan menambahkan volume ke produk. Penyesuaian pH adalah umum dalam produk kosmetik. pH suatu produk dapat mempengaruhi efektivitas bAHAn -bAHAn lain. Produk dengan pH tinggi juga dapat mengiritasi kulit.",,"See all 3,352 products with Triethanolamine Comedogenic Rating 2 Irritancy Rating 0 Users who like it 8% Users who avoid it 92% What it does Emulsifying The act of emulsion: a suspension of small globules of one liquid in a second liquid with which the first will not mix Masking Obscuring or blocking Buffering Buffering ingredients help stabilise or adjust the ph level of a product","TRIETHANOLAMINE, trolamine, 203-049-8",EmulsifyingThe act of emulsion: a suspension of small globules of one liquid in a second liquid with which the first will not mixMaskingObscuring or blockingBufferingBuffering ingredients help stabilise or adjust the ph level of a product.,https://skinsort.com/ingredients/triethanolamine
Micrococcus Lysate13Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk micrococcus lysate. Lihat All124 Produkswith Micrococcus Lysate Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT.,,,"MICROCOCCUS LYSATE, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/micrococcus-lysate
"Anthemis Nobilis Flower Water134Masking, Skin Conditioning","Skin Conditioning, Masking",,"Moisturizing, Sensory",Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"BAHAn ini dibuat dengan menyaring bagian-bagian bunga chamomile Romawi. Chamomile kaya akan antioksidan dan memiliki sifat anti-inflamasi. Beberapa senyawa ditemukan dalam bantuan chamomile dengan menenangkan, seperti Asbisbolol. See all142 productswith Anthemis Nobilis Flower Water What it doesMaskingObscuring or blockingSkin ConditioningTo hydrate and soften skinPrevalenceLess commonPercentage of products that contain it0.2%Top categoriesCleansersTreatmentsMoisturizersPositionPredominant list placementTop 25%ConcentrationConcentrations we've seen100%",,"They can be especially helpful for soothing sensitive or reactive skin, but how well they work can vary from person to person","ANTHEMIS NOBILIS FLOWER WATER, 283-467-5, All Functions, Masking",MaskingObscuring or blockingSkin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/anthemis-nobilis-flower-water
"Sr-Hydrozoan Polypeptide-113Humectant, Skin Conditioning, UV Filter","Skin Conditioning, UV Filter, Humectant",,"Moisturizing, Protective",Peptides,Yes,"Dry,  Normal","Aging, Dryness","Hydrating, Protecting, Anti-aging, Barrier Repair",Morning use only,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Peptida adalah asam amino yang ditemukan secara alami di kulit Anda. Asam amino ini membentuk banyak protein yang digunakan kulit Anda. Kolagen terdiri dari peptida. Kolagen bertanggung jawab untuk menjaga kulit Anda montok dan muda. Seiring bertambahnya usia, tubuh Anda secara alami menghasilkan lebih sedikit kolagen. Karena peptida adalah blok bangunan kolagen, ia mungkin memiliki efek anti-penuaan.",,,"SR-HYDROZOAN POLYPEPTIDE-1, All Functions, Film Forming, Hair Conditioning, Humectant",HumectantA substance that promotes retention of moisture.Skin ConditioningTo hydrate and soften skinUV FilterAn agent that filters out certain uv rays,https://skinsort.com/ingredients/sr-hydrozoan-polypeptide-1
"Palmitoyl Grapevine Shoot Extract132Antioxidant, Skin Protecting","Skin Protecting, Antioxidant",,"Moisturizing, Protective",Peptides,Yes,Normal,Aging,"Protecting, Anti-aging",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Ekstrak pucuk Palmitoyl Grapevine adalah antioksidan. Lihat All20 Productswith Palmitoyl Grapevine Shoot Extract Apa yang Didantioxidanta zat yang menghambat oksidasi, terutama satu, seperti vitamin E, vitamin C, atau beta karoten, yang melindungi sel -sel dari dampak oksidasi yang kadang -kadang memakan waktu yang tidak dapat dikenakan pada produsen.",,,"PALMITOYL GRAPEVINE SHOOT EXTRACT, All Functions, Antioxidant, Skin Protecting","AntioxidantA substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation.Skin ProtectingTo keep skin from being damaged to a certain degree",https://skinsort.com/ingredients/palmitoyl-grapevine-shoot-extract
Hydrocortisone1318,,,,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Hidrokortison adalah nama untuk hormon kortisol ketika digunakan dalam pengobatan. Ini adalah obat dan secara teknis bukan bAHAn kosmetik. Sebagian besar negara memungkinkan krim topikal mengandung antara 0,05 - 2,5% (tergantung pada negara) hidrokortison tanpa resep. Jumlah yang lebih tinggi biasanya memerlukan resep dari seorang profesional. Hidrokortison dapat membantu meredakan ruam, eksim, gatal, dan peradangan lainnya yang diinduksi kondisi kulit. Kami merekomendasikan berbicara dengan seorang profesional tentang menggunakan bAHAn ini.",,See all 52 products with Hydrocortisone Users who like it 42% Users who avoid it 58% Prevalence Less common Percentage of products that contain it 0,,,https://skinsort.com/ingredients/hydrocortisone
"Acetic Acid1326Masking, Buffering","Buffering, Masking",,"Formulation, Sensory",Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Asam asetat dibuat selama proses fermentasi etanol. Ini digunakan untuk membantu menyesuaikan pH kosmetik. pH kulit Anda penting untuk mempertAHAnkan penghalang yang sehat. Penghalang ini membuat kulit Anda terhidrasi dan melindungi kulit Anda dari faktor eksternal seperti bakteri. Lihat All346 Productswith Acetic Acid,,See all 346 products with Acetic Acid Users who like it 33% Users who avoid it 67% What it does Masking Obscuring or blocking Buffering Buffering ingredients help stabilise or adjust the ph level of a product,"Ethanoic Acid, Prevalence, Less common, Percentage of products that contain it, ACETIC ACID",MaskingObscuring or blockingBufferingBuffering ingredients help stabilise or adjust the ph level of a product.,https://skinsort.com/ingredients/acetic-acid
"Acrylates Copolymer1372Antistatic, Binding, Film Forming",UV Filter,,Protective,Others,No,Normal,,Protecting,Morning use only,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Acrylates Copolymer digunakan sebagai agen pembentuk film dan penambah tekstur. Setelah diterapkan, kopolimer akrilat membentuk penutup film tipis yang membantu kulit terasa lebih lembut. Ini dapat membantu tabir surya menjadi lebih tAHAn air. Ini juga digunakan untuk membuat produk lebih tebal. Lihat All2.650 Produkswith Acrylates Copolymer",,"See all 2,650 products with Acrylates Copolymer Users who like it 15% Users who avoid it 85% Prevalence Uncommon Percentage of products that contain it 2","ACRYLATES COPOLYMER, All Functions, Antistatic, Binding, Film Forming","Acrylates Copolymer is used as a film-forming agent and texture enhancer.After applied, Acrylates Copolymer forms a thin film cover that helps skin feel more soft. It can help sunscreens become more w",https://skinsort.com/ingredients/acrylates-copolymer
"Cannabis Sativa Flower/Leaf/Stem...135Antiseborrhoeic, Skin Conditioning, Antioxidant","Skin Protecting, Skin Conditioning, Antioxidant",,"Moisturizing, Protective",Others,No,"Dry,  Normal","Aging, Dryness","Hydrating, Protecting, Anti-aging, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Ganja sativa bunga/daun/daun batang adalah antioksidan. Lihat All35 Productswith Cannabis Sativa Bunga/Daun/Batang Ekstrak Apa yang DidantiseBoroicpreventing atau Menghilangkan Sekresi sebum yang berlebihan; mencegah atau mengurangi dermatitis seboro.,,,"Hemp ExtractFull Spectrum Hemp Extract, Hemp Extract, Full Spectrum Hemp Extract, Prevalence, Less common","AntiseborrhoeicPreventing or relieving excessive secretion of sebum, preventing or relieving seborrheic dermatitis.Skin ConditioningTo hydrate and soften skinAntioxidantA substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the so...",https://skinsort.com/ingredients/cannabis-sativa-flower-leaf-stem-extract
"Cyclomethicone13130Emollient, Skin Conditioning, Solvent","Emollient, Skin Conditioning, Solvent, Soothing",,"Moisturizing, Treatment, Formulation",Others,No,"Dry,  Normal","Dryness, Sensitivity, Redness","Hydrating, Soothing, Softening, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Cyclomethicone adalah kelas silikon yang digunakan untuk meningkatkan tekstur produk. Struktur siklik atau melingkar mereka mengurangi stabilitas. Ini menyebabkan penguapan cepat saat diaplikasikan pada kulit. Cyclomethicones sering digunakan sebagai pembawa untuk bAHAn -bAHAn lain. Setelah menguap, ia meninggalkan penghalang sutra pada kulit. Jenis siklomethicones yang paling populer termasuk5andd6.",,See all 582 products with Cyclomethicone Comedogenic Rating 0 Irritancy Rating 0 Users who like it 9% Users who avoid it 91% What it does Emollient Having the quality of softening or soothing the skin,"Cyclomethicone NfCyclosiloxane, Cyclomethicone Nf, Cyclosiloxane, Prevalence, Less common",EmollientHaving the quality of softening or soothing the skin.Skin ConditioningTo hydrate and soften skinSolventCapable of dissolving another substance.,https://skinsort.com/ingredients/cyclomethicone
Nicotiana Benthamiana Octapeptid...13Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Peptida ini memiliki sifat pengkondisian rambut dan kulit. Menurut produsen, bAHAn ini mengandung protein nabati yang disebut tanaman-IGF1 yang mampu menebalkan epidermis (atau lapisan kulit terluar). Sebuah studi yang tampaknya dilakukan oleh produsen yang diklaim oleh produsen ini. Diperlukan lebih banyak penelitian. (Meskipun tidak ada salahnya menguji bAHAn ini!)",,,"Scelleye, Prevalence, Less common, Percentage of products that contain it, Position",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/nicotiana-benthamiana-octapeptide-30-sh-oligopeptide-2
Prunus Mume Fruit Water12Humectant,Humectant,,Moisturizing,Others,No,Dry,Dryness,Hydrating,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Prunus menggumamkan air buah diciptakan dengan menyaring bagian -bagian prem Asia. Plum ini adalah alias 'bunga plum'.Plum Bunga kaya akan nutrisi, termasuk vitamin A, vitamin B, dan vitamin C. Lihat semua produkswith prunus menggumun air buah apa yang tidak ditempatkan di tempat lain yang memicu nam -nama yang tidak ada pada produsen yang tidak memiliki apa -apa yang tidak ada pada produsen yang tidak memiliki jumlah yang tidak ada water -names yang tidak memiliki air yang tidak memiliki air yang tidak memiliki air yang tidak memiliki air, 25% konsentrasi konsentrasi kami telah melihat 10% hingga 74%",,,"Plum Blossom Water, 'plum blossom', Prevalence, Less common, Percentage of products that contain it",HumectantA substance that promotes retention of moisture.,https://skinsort.com/ingredients/prunus-mume-fruit-water
Polyquaternium-51128Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Polyquaternium-51 adalah garam polimer. Ini membantu melembabkan kulit dengan membuat film di atas. Film ini menjebak kelembaban, menjaga kulit Anda lembut dan terhidrasi. Lihat All763 Produkswith Polyquaternium-51 Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandungnya.",,,"POLYQUATERNIUM-51, All Functions, Film Forming, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/polyquaternium-51
Sodium Lauryl Sulfate,"Emulsifying, Cleansing","Cleansing, Emulsifying, Foaming","Cleansing, Formulation",Others,No,Oily,"Acne, Oiliness","Cleansing, Oil Control",,Consult healthcare provider,Sulfates,Yes,Yes,Yes,No,Yes,Sodium lauryl sulfat (SLS) adalah sulfat dengan sifat surfaktan. Properti surfaktan menjadikannya pencipta busa yang hebat dan agen pembersih. Surfaktan membantu mengikat bAHAn -bAHAn yang biasanya tidak bercampur. Beberapa studi telah menunjukkan iritasi kulit karena penggunaan SLS yang berkepanjangan. Sodium Laureth sulfate (SLES) adalah versi SLS yang lebih ringan.,,"Can worsen Dry Skin Can worsen Dry Skin Some ingredients have the potential to dry out skin, especially in higher concentrations or for those with already dry or sensitive skin See all 540 products with Sodium Lauryl Sulfate Comedogenic Rating 0 Irritancy Rating 0 Users who like it 0% Users who avoid it 100% What it does Cleansing To free from dirt, contamination, or impurities Emulsifying The act...","Sls, Prevalence, Less common, Percentage of products that contain it, SODIUM LAURYL SULFATE","CleansingTo free from dirt, contamination, or impuritiesEmulsifyingThe act of emulsion: a suspension of small globules of one liquid in a second liquid with which the first will not mixFoamingTo produce or issue as foam, froth.",https://skinsort.com/ingredients/sodium-lauryl-sulfate
Isoceteth-2012140Emulsifying,Emulsifying,,Formulation,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Isoceteth-20 berasal dari alkohol isocetyl. Itu adalah pengemulsi. Pengemulsi membantu menstabilkan suatu produk. Ia melakukan ini dengan mencegah bAHAn -bAHAn tertentu memisahkan. Lihat All126 Productswith Isoceteth-20 Pengguna yang menyukai Pengguna IT8%yang menghindari IT92%Apa yang dilakukannya.,,See all 126 products with Isoceteth-20 Users who like it 8% Users who avoid it 92% What it does Emulsifying The act of emulsion: a suspension of small globules of one liquid in a second liquid with which the first will not mix Prevalence Less common Percentage of products that contain it 0,"ISOCETETH-20, All Functions, Emulsifying, Surfactant",EmulsifyingThe act of emulsion: a suspension of small globules of one liquid in a second liquid with which the first will not mix,https://skinsort.com/ingredients/isoceteth-20
Yeast Ferment Extract1240Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk ekstrak fermentasi ragi. Lihat All126 Productswith Yeast Ferment Ekstrak Pengguna yang menyukai Pengguna IT23%yang menghindari IT77%Apa yang dikondisikan olehnya untuk melembabkan dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT0.1%Top CategoriesTreatmentsMoisturizersCleansSpositionSpositionant Predomedom Placementtop 50%50%Placementtop 50%,,See all 126 products with Yeast Ferment Extract Users who like it 23% Users who avoid it 77% What it does Skin Conditioning To hydrate and soften skin Prevalence Less common Percentage of products that contain it 0,"YEAST FERMENT EXTRACT, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/yeast-ferment-extract
Polymnia Sonchifolia Root Juice12Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Kami belum memiliki deskripsi untuk jus akar Polymnia sonchifolia. Lihat All304 Productswith Polymnia Sonchifolia Jus Root Apa yang Doesskin mengondisikan untuk melembabkan dan melunakkan skinprevalencel tidak berpendapat tentang produk yang mengandung IT0,3%Kategori TopmakeUpmoisturizerstreatmentmentspositionent Predomed dominan penempatan dominan 50%50%50%50%50%",,3% Top categories Makeup Moisturizers Treatments Position Predominant list placement Top 50% Products with Polymnia Sonchifolia Root Juice La Roche-Posay Cicaplast Baume B5+ General Moisturizer Aiken Prebiotic Hydra Plus Moisturiser General Moisturizer La Roche-Posay Cicaplast Baume B5+ General Moisturizer Derma E Vitamin C Concentrated Serum Serum KORRES Greek Yoghurt Foaming Cream Cleanser Face ...,"POLYMNIA SONCHIFOLIA ROOT JUICE, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/polymnia-sonchifolia-root-juice
Manganese Gluconate12Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk mangan glukonat. Lihat All52 Productswith Mangan Gluconate Apa yang Doesskin mengondisikan untuk menghidrasi dan melunakkan skinprevalencelseless common cententage produk yang mengandung IT0.1%kategori teratas Moisturizerscleanserstreatmentmentmentsposition Predomed dominan penempatan dominan 50%50%,,,"MANGANESE GLUCONATE, 229-350-4, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/manganese-gluconate
Yeast Beta-Glucan1210Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk ragi beta-glukan. Lihat All46 Productswith Ragi Pengguna Beta-Glukan yang menyukai IT55%Pengguna yang menghindari IT45%Apa yang Doesskin Conditioning untuk melembabkan dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT0.1%Top CategoriesTreatmentsmoisturizerseye Daftar CAREPOSISTASI PROSEMENTANT PENDAFTARAN 50%TOP 50%50%50%CAREPOSISTOSITOR PROSISTOM DOMENTOM 50%50%,,See all 46 products with Yeast Beta-Glucan Users who like it 55% Users who avoid it 45% What it does Skin Conditioning To hydrate and soften skin Prevalence Less common Percentage of products that contain it 0,"YEAST BETA-GLUCAN, All Functions, Film Forming, Skin Conditioning, Viscosity Controlling",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/yeast-beta-glucan
